id,code,name,account_type,chart_template_id/id,reconcile
account526600,526600,echeances a moins d'un an sur les obligations immobilisees,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account527000,527000,Bons du tresor et bons de caisse a court terme,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account528100,528100,Autres valeurs mobilières,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account528800,528800,Interets courus sur obligations  bons et valeurs assimilees,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account529000,529000,Versements restant a effectuer sur valeurs mobilieres de placement non liberees,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account531100,531100,Coupons echus a l'encaissement,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account531200,531200,Cheques a encaisser,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account531300,531300,Effets à l'encaissement,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account531400,531400,Effets a l'escompte,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account532101,532101,Bank Suspense Account,Current Assets,l10n_tn_account.l10n_tn_chart_template,FALSE
account532102,532102,Outstanding Receipts,Current Assets,l10n_tn_account.l10n_tn_chart_template,TRUE
account532103,532103,Outstanding Payments,Current Assets,l10n_tn_account.l10n_tn_chart_template,TRUE
account532104,532104,Bank,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account532400,532400,Comptes en devises,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account534000,534000,CCP,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account535000,535000,Comptes au tresor,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account537000,537000,Autres organismes financiers,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account541100,541100,Caisse en dinars,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account541101,541101,Cash,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account541400,541400,Caisse en devises,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account542000,542000,Caisses succursales,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account550000,550000,Regies d'avances et accreditifs,Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account580000,580000,Virements internes,Current Assets,l10n_tn_account.l10n_tn_chart_template,TRUE
account590000,590000,Provisions pour depreciation des comptes financiers (Meme ventilation que les comptes de la classe 5),Bank and Cash,l10n_tn_account.l10n_tn_chart_template,FALSE
account601000,601000,Achats stockes - Matieres premieres et fournitures liees,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account602100,602100,Matieres consommables,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account602200,602200,Fournitures consommables,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account602600,602600,Emballages,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account603100,603100,Variation des stocks de matieres premieres (et fournitures),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account603200,603200,Variation des stocks des autres approvisionnements,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account603700,603700,Variation des stocks de marchandises,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account604000,604000,Achats d'etudes et de prestations de services (y compris achat de sous-traitance de production),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account605000,605000,Achats de materiel  equipements et travaux,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account606000,606000,Achats non stockes de matieres et fournitures,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account607000,607000,Achats de marchandises,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account608000,608000,Achats lies a une modification comptable a prendre en compte dans le resultat de l'exercice ou a une activite abandonnee,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account609800,609800,Lies a une modification comptable a prendre en compte dans le resultat de l'exercice ou a une activite abandonnee,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account611000,611000,Sous-traitance generale,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account612000,612000,Redevances pour utilisation d'immobilisations concedees,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account613000,613000,Locations (y compris malis sur emballages),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account614000,614000,Charges locatives et de copropriete,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account615000,615000,Entretien et reparations,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account616000,616000,Primes d'assurances,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account617000,617000,etudes  recherches et divers services exterieurs,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account618000,618000,Autres charges liees a une modification comptable a prendre en compte dans le resultat de l'exercice ou a une activite abandonne,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account619000,619000,Rabais  remises et ristournes obtenus sur services exterieurs,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account621000,621000,Personnel exterieur a l'entreprise,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account622000,622000,Remuneration d'intermediaires et honoraires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account623000,623000,Publicite  publications  relations publiques,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account624100,624100,Transports sur achats,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account624200,624200,Transports sur ventes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account624400,624400,Transports administratifs,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account624700,624700,Transports collectifs du personnel,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account624800,624800,Divers,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account625100,625100,Voyages et deplacements,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account625500,625500,Frais de demenagement,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account625600,625600,Missions,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account625700,625700,Receptions,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account626000,626000,Frais postaux et frais de telecommunications,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account627100,627100,Frais sur titres (achats  vente  garde),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account627200,627200,Commissions et frais sur emission d'emprunts,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account627500,627500,Frais sur effets,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account627600,627600,Location de coffres,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account627800,627800,Autres frais et commissions sur prestations de services,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account628000,628000,Autres services exterieurs lies a une modification comptable a prendre en compte dans le resultat de l'exercice ou a une activit,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
